brc_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
17699.1   50  1.7538 -3.133e-01  0.064  0.079    1.60  0.0247  0.062  0.137  0.000  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   50  1.3491 -3.041e-01  0.064  0.079    1.60  0.0387  0.097  0.137  0.000  0.004  1.000  0.013  0.500  0.003  0.000  0.000  0.000  0.000
13157.9   50  1.4002 -1.821e-01  0.064  0.079    1.60  0.0255  0.063  0.137  0.001  0.006  1.000  0.018  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   50  1.4433 -7.488e-02  0.064  0.079    1.60  0.0121  0.030  0.137  0.002  0.009  1.000  0.025  0.500  0.005  0.000  0.000  0.000  0.000
 9708.7   50  1.5824 -7.220e-02  0.064  0.079    1.60  0.0121  0.031  0.137  0.005  0.011  1.000  0.035  0.501  0.006  0.000  0.000  0.000  0.000
 8849.6   50  2.0286 -1.912e-01  0.064  0.079    1.60  0.0244  0.061  0.137  0.009  0.018  1.000  0.053  0.501  0.008  0.000  0.000  0.000  0.000
 7782.1   50  1.2749 -4.978e-02  0.064  0.079    1.60  0.0131  0.033  0.137  0.003  0.016  1.000  0.046  0.501  0.010  0.000  0.000  0.000  0.000
 6968.6   50  1.3749 -4.391e-02  0.064  0.079    1.60  0.0119  0.030  0.137  0.011  0.020  1.000  0.060  0.501  0.013  0.000  0.000  0.000  0.000
 6097.6   50  1.3693 -6.134e-02  0.064  0.079    1.60  0.0194  0.048  0.137  0.010  0.026  1.000  0.078  0.503  0.015  0.000  0.000  0.000  0.000
 5154.6   50  1.3906 -8.944e-03  0.064  0.079    1.60  0.0038  0.010  0.137  0.089  0.037  1.000  0.110  0.505  0.022  0.001  0.000  0.000  0.000
 4618.9   50  1.3976 -1.440e-02  0.064  0.079    1.60  0.0066  0.017  0.137  0.101  0.045  1.000  0.135  0.508  0.027  0.002  0.000  0.000  0.000
 4319.7   50  1.4027 -1.009e-02  0.064  0.079    1.60  0.0052  0.013  0.137  0.184  0.051  1.000  0.153  0.510  0.031  0.002  0.000  0.000  0.000
 4016.1   50  1.4058 -4.964e-03  0.064  0.079    1.60  0.0035  0.009  0.137  0.344  0.059  1.000  0.176  0.513  0.036  0.002  0.000  0.000  0.000
 3418.8   50  1.4253 -1.245e-02  0.064  0.079    1.60  0.0095  0.024  0.137  0.275  0.079  1.000  0.237  0.523  0.048  0.004  0.000  0.000  0.000
 3444.7   50  1.4251 -1.055e-02  0.064  0.079    1.60  0.0083  0.021  0.137  0.307  0.078  1.000  0.234  0.523  0.048  0.004  0.000  0.000  0.000
 2777.0   50  1.3521 -1.193e-01  0.064  0.079    1.60  0.0832  0.208  0.137  0.171  0.106  1.000  0.319  0.542  0.070  0.008  0.001  0.000  0.000
 2320.2   50  1.3481  1.713e-02  0.064  0.079    1.60  0.0000  0.000  0.137  0.636  0.146  1.000  0.437  0.577  0.100  0.015  0.002  0.000  0.000
 2044.2   50  1.3621 -1.551e-03  0.064  0.079    1.60  0.0150  0.038  0.137  0.734  0.179  1.000  0.535  0.613  0.128  0.024  0.004  0.001  0.000
 1778.4   50  1.3923 -9.207e-03  0.064  0.079    1.60  0.0346  0.086  0.137  0.695  0.222  1.000  0.665  0.667  0.167  0.039  0.009  0.003  0.001
 1455.2   50  1.4224 -1.200e-02  0.064  0.079    1.60  0.0718  0.179  0.137  0.747  0.292  1.000  0.877  0.775  0.245  0.073  0.020  0.007  0.002
 1270.3   50  1.4220 -1.031e-02  0.064  0.079    1.60  0.1015  0.253  0.137  0.815  0.342  1.000  1.027  0.873  0.321  0.111  0.036  0.012  0.005
  944.3   50  1.4303 -7.541e-03  0.064  0.079    1.60  0.2288  0.571  0.137  0.910  0.456  1.000  1.369  1.159  0.558  0.251  0.102  0.043  0.017
  693.5   50  1.4359 -3.788e-03  0.064  0.079    1.60  0.4964  1.239  0.137  0.968  0.564  1.000  1.692  1.544  0.933  0.519  0.259  0.131  0.062
  527.1   50  1.4373 -2.181e-02  0.064  0.079    1.60  0.9521  2.377  0.137  0.864  0.643  1.000  1.929  1.921  1.373  0.883  0.514  0.295  0.162
  399.8   50  1.4400 -3.334e-02  0.064  0.079    1.60  1.5350  3.833  0.137  0.830  0.705  1.000  2.115  2.304  1.883  1.372  0.916  0.590  0.367
  329.1   50  1.4429 -4.669e-02  0.064  0.079    1.60  1.9739  4.929  0.137  0.785  0.740  1.000  2.221  2.553  2.256  1.771  1.284  0.888  0.597
  229.8   50  1.4519 -7.978e-02  0.064  0.079    1.60  2.5256  6.306  0.137  0.690  0.788  1.000  2.363  2.929  2.877  2.521  2.067  1.611  1.224
 7082.2   50  1.3677 -4.861e-02  0.064  0.079    1.60  0.0131  0.033  0.137  0.009  0.019  1.000  0.058  0.501  0.012  0.000  0.000  0.000  0.000
  300.0   70  1.4230 -5.560e-02  0.064  0.086    1.60  2.2288  5.116  0.149  0.752  0.775  1.000  2.325  2.821  2.674  2.258  1.771  1.324  0.963
  400.0   70  1.4180 -3.330e-02  0.064  0.086    1.60  1.6125  3.701  0.149  0.826  0.727  1.000  2.181  2.456  2.096  1.593  1.111  0.744  0.482
  440.0   70  1.4163 -2.817e-02  0.064  0.086    1.60  1.3959  3.204  0.149  0.844  0.709  1.000  2.126  2.328  1.909  1.396  0.934  0.602  0.375
  500.0   70  1.4150 -2.240e-02  0.064  0.086    1.60  1.1231  2.578  0.149  0.864  0.681  1.000  2.043  2.149  1.661  1.150  0.724  0.443  0.261
  550.0   70  1.4140 -1.890e-02  0.064  0.086    1.60  0.9372  2.151  0.149  0.877  0.658  1.000  1.975  2.012  1.483  0.982  0.589  0.347  0.196
  600.0   70  1.4130 -2.469e-03  0.064  0.086    1.60  0.7470  1.715  0.149  0.981  0.633  1.000  1.899  1.888  1.324  0.844  0.483  0.275  0.148
  675.0   70  1.4130 -3.297e-03  0.064  0.086    1.60  0.5799  1.331  0.149  0.973  0.601  1.000  1.802  1.719  1.126  0.673  0.361  0.193  0.099
  800.0   70  1.4080 -4.120e-03  0.064  0.086    1.60  0.3817  0.876  0.149  0.959  0.547  1.000  1.641  1.484  0.871  0.471  0.228  0.113  0.053
