soot_anth RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
13157.9   50  2.5447 -1.334e+00  0.030  0.030    1.60  0.0224  0.180  0.052  0.000  0.001  1.000  0.004  0.500  0.000  0.000  0.000  0.000  0.000
11111.1   50  2.4876 -1.283e+00  0.030  0.030    1.60  0.0271  0.216  0.052  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   50  2.4473 -1.259e+00  0.030  0.030    1.60  0.0317  0.253  0.052  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   50  2.4122 -1.220e+00  0.030  0.030    1.60  0.0352  0.281  0.052  0.000  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1   50  2.3542 -1.176e+00  0.030  0.030    1.60  0.0410  0.327  0.052  0.000  0.003  1.000  0.010  0.500  0.001  0.000  0.000  0.000  0.000
 6968.6   50  2.2833 -1.128e+00  0.030  0.030    1.60  0.0473  0.378  0.052  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   50  2.2567 -1.095e+00  0.030  0.030    1.60  0.0543  0.434  0.052  0.001  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 5154.6   50  2.2028 -1.055e+00  0.030  0.030    1.60  0.0660  0.528  0.052  0.001  0.007  1.000  0.022  0.500  0.003  0.000  0.000  0.000  0.000
 4618.9   50  2.1688 -1.042e+00  0.030  0.030    1.60  0.0751  0.600  0.052  0.002  0.009  1.000  0.026  0.500  0.004  0.000  0.000  0.000  0.000
 4319.7   50  2.1544 -1.036e+00  0.030  0.030    1.60  0.0810  0.648  0.052  0.003  0.009  1.000  0.029  0.500  0.004  0.000  0.000  0.000  0.000
