soot_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  675.0   50  1.9500 -7.602e-01  0.070  0.070    1.40  1.6978  7.615  0.093  0.312  0.282  1.000  0.848  0.662  0.191  0.048  0.009  0.001  0.000
  800.0   50  1.9500 -7.550e-01  0.070  0.070    1.40  1.3440  6.028  0.093  0.265  0.230  1.000  0.691  0.601  0.133  0.025  0.004  0.001  0.000
  870.0   50  1.9490 -7.606e-01  0.070  0.070    1.40  1.1916  5.345  0.093  0.240  0.205  1.000  0.618  0.579  0.112  0.018  0.003  0.000  0.000
 1000.0   50  1.9612 -7.720e-01  0.070  0.070    1.40  0.9689  4.345  0.093  0.200  0.169  1.000  0.508  0.553  0.085  0.011  0.001  0.000  0.000
 1020.0   50  1.9629 -7.734e-01  0.070  0.070    1.40  0.9400  4.215  0.093  0.194  0.164  1.000  0.494  0.550  0.082  0.010  0.001  0.000  0.000
55555.6   50  2.9306 -1.700e+00  0.070  0.070    1.40  0.0126  0.057  0.093  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   50  2.7796 -1.543e+00  0.070  0.070    1.40  0.0200  0.090  0.093  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   50  2.6664 -1.446e+00  0.070  0.070    1.40  0.0282  0.127  0.093  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   50  2.5964 -1.390e+00  0.070  0.070    1.40  0.0343  0.154  0.093  0.000  0.001  1.000  0.004  0.500  0.000  0.000  0.000  0.000  0.000
13157.9   50  2.5447 -1.334e+00  0.070  0.070    1.40  0.0401  0.179  0.093  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
11111.1   50  2.4876 -1.283e+00  0.070  0.070    1.40  0.0485  0.217  0.093  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   50  2.4473 -1.259e+00  0.070  0.070    1.40  0.0568  0.254  0.093  0.001  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   50  2.4122 -1.220e+00  0.070  0.070    1.40  0.0631  0.283  0.093  0.001  0.003  1.000  0.009  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1   50  2.3542 -1.176e+00  0.070  0.070    1.40  0.0736  0.330  0.093  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6   50  2.2833 -1.128e+00  0.070  0.070    1.40  0.0852  0.382  0.093  0.002  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   50  2.2567 -1.095e+00  0.070  0.070    1.40  0.0981  0.440  0.093  0.002  0.006  1.000  0.018  0.500  0.003  0.000  0.000  0.000  0.000
 5154.6   50  2.2028 -1.055e+00  0.070  0.070    1.40  0.1198  0.537  0.093  0.004  0.009  1.000  0.026  0.500  0.004  0.000  0.000  0.000  0.000
 4618.9   50  2.1688 -1.042e+00  0.070  0.070    1.40  0.1368  0.613  0.093  0.005  0.010  1.000  0.031  0.500  0.005  0.000  0.000  0.000  0.000
 4319.7   50  2.1544 -1.036e+00  0.070  0.070    1.40  0.1479  0.664  0.093  0.007  0.012  1.000  0.036  0.500  0.005  0.000  0.000  0.000  0.000
 4016.1   50  2.1406 -1.021e+00  0.070  0.070    1.40  0.1607  0.721  0.093  0.008  0.014  1.000  0.042  0.500  0.006  0.000  0.000  0.000  0.000
 3418.8   50  2.0863 -9.697e-01  0.070  0.070    1.40  0.1937  0.869  0.093  0.012  0.019  1.000  0.056  0.501  0.009  0.000  0.000  0.000  0.000
 3444.7   50  2.0889 -9.742e-01  0.070  0.070    1.40  0.1923  0.863  0.093  0.011  0.018  1.000  0.055  0.501  0.008  0.000  0.000  0.000  0.000
 2777.0   50  2.0355 -9.307e-01  0.070  0.070    1.40  0.2487  1.115  0.093  0.020  0.028  1.000  0.082  0.501  0.012  0.000  0.000  0.000  0.000
 2320.2   50  2.0207 -8.781e-01  0.070  0.070    1.40  0.3001  1.346  0.093  0.033  0.039  1.000  0.118  0.503  0.018  0.000  0.000  0.000  0.000
 2044.2   50  2.0075 -8.620e-01  0.070  0.070    1.40  0.3517  1.577  0.093  0.046  0.050  1.000  0.151  0.504  0.023  0.001  0.000  0.000  0.000
 1778.4   50  1.9964 -8.461e-01  0.070  0.070    1.40  0.4223  1.893  0.093  0.064  0.065  1.000  0.195  0.508  0.029  0.001  0.000  0.000  0.000
 1455.2   50  1.9687 -8.034e-01  0.070  0.070    1.40  0.5510  2.472  0.093  0.100  0.093  1.000  0.278  0.517  0.042  0.002  0.000  0.000  0.000
 1270.3   50  1.9611 -7.912e-01  0.070  0.070    1.40  0.6738  3.022  0.093  0.132  0.117  1.000  0.350  0.526  0.054  0.004  0.000  0.000  0.000
  944.3   50  1.9544 -7.680e-01  0.070  0.070    1.40  1.0568  4.740  0.093  0.216  0.183  1.000  0.551  0.563  0.095  0.013  0.001  0.000  0.000
  693.5   50  1.9500 -7.561e-01  0.070  0.070    1.40  1.6365  7.340  0.093  0.305  0.274  1.000  0.823  0.651  0.181  0.044  0.007  0.001  0.000
  527.1   50  1.9500 -7.921e-01  0.070  0.070    1.40  2.2328 10.014  0.093  0.369  0.364  1.000  1.094  0.812  0.336  0.120  0.032  0.008  0.002
  399.8   50  1.9500 -8.080e-01  0.070  0.070    1.40  2.6542 11.905  0.093  0.415  0.470  1.000  1.412  1.126  0.641  0.311  0.116  0.042  0.014
  329.1   50  1.9570 -8.233e-01  0.070  0.070    1.40  2.8156 12.628  0.093  0.438  0.544  1.000  1.632  1.446  0.972  0.553  0.256  0.111  0.042
  229.8   50  1.7850 -7.845e-01  0.070  0.070    1.40  2.7822 12.478  0.093  0.446  0.665  1.000  1.995  2.158  1.795  1.276  0.794  0.455  0.240
 7082.2   50  2.2881 -1.133e+00  0.070  0.070    1.40  0.0838  0.376  0.093  0.002  0.005  1.000  0.014  0.500  0.002  0.000  0.000  0.000  0.000
  300.0   70  1.9389 -8.250e-01  0.070  0.070    1.40  2.8422 12.748  0.093  0.445  0.581  1.000  1.742  1.645  1.193  0.737  0.382  0.186  0.082
  400.0   70  1.9500 -8.080e-01  0.070  0.070    1.40  2.6536 11.902  0.093  0.415  0.470  1.000  1.411  1.125  0.640  0.310  0.116  0.042  0.014
  440.0   70  1.9503 -8.013e-01  0.070  0.070    1.40  2.5331 11.361  0.093  0.401  0.433  1.000  1.300  0.996  0.514  0.226  0.075  0.024  0.007
  500.0   70  1.9500 -7.900e-01  0.070  0.070    1.40  2.3254 10.430  0.093  0.379  0.385  1.000  1.155  0.860  0.381  0.145  0.041  0.011  0.003
  550.0   70  1.9500 -7.900e-01  0.070  0.070    1.40  2.1500  9.643  0.093  0.360  0.349  1.000  1.048  0.779  0.304  0.103  0.026  0.006  0.001
  600.0   70  1.9500 -7.640e-01  0.070  0.070    1.40  1.9495  8.744  0.093  0.342  0.322  1.000  0.966  0.724  0.250  0.075  0.016  0.004  0.001
  675.0   70  1.9500 -7.602e-01  0.070  0.070    1.40  1.6978  7.615  0.093  0.312  0.282  1.000  0.848  0.662  0.191  0.048  0.009  0.001  0.000
  800.0   70  1.9500 -7.550e-01  0.070  0.070    1.40  1.3440  6.028  0.093  0.265  0.230  1.000  0.691  0.601  0.133  0.025  0.004  0.001  0.000
  870.0   70  1.9490 -7.606e-01  0.070  0.070    1.40  1.1916  5.345  0.093  0.240  0.205  1.000  0.618  0.579  0.112  0.018  0.003  0.000  0.000
 1000.0   70  1.9612 -7.720e-01  0.070  0.070    1.40  0.9689  4.345  0.093  0.200  0.169  1.000  0.508  0.553  0.085  0.011  0.001  0.000  0.000
 1020.0   70  1.9629 -7.734e-01  0.070  0.070    1.40  0.9400  4.215  0.093  0.194  0.164  1.000  0.494  0.550  0.082  0.010  0.001  0.000  0.000
55555.6   70  2.9306 -1.700e+00  0.070  0.070    1.40  0.0126  0.057  0.093  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   70  2.7796 -1.543e+00  0.070  0.070    1.40  0.0200  0.090  0.093  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   70  2.6664 -1.446e+00  0.070  0.070    1.40  0.0282  0.127  0.093  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   70  2.5964 -1.390e+00  0.070  0.070    1.40  0.0343  0.154  0.093  0.000  0.001  1.000  0.004  0.500  0.000  0.000  0.000  0.000  0.000
13157.9   70  2.5447 -1.334e+00  0.070  0.070    1.40  0.0401  0.179  0.093  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
11111.1   70  2.4876 -1.283e+00  0.070  0.070    1.40  0.0485  0.217  0.093  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   70  2.4473 -1.259e+00  0.070  0.070    1.40  0.0568  0.254  0.093  0.001  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   70  2.4122 -1.220e+00  0.070  0.070    1.40  0.0631  0.283  0.093  0.001  0.003  1.000  0.009  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1   70  2.3542 -1.176e+00  0.070  0.070    1.40  0.0736  0.330  0.093  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6   70  2.2833 -1.128e+00  0.070  0.070    1.40  0.0852  0.382  0.093  0.002  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   70  2.2567 -1.095e+00  0.070  0.070    1.40  0.0981  0.440  0.093  0.002  0.006  1.000  0.018  0.500  0.003  0.000  0.000  0.000  0.000
 5154.6   70  2.2028 -1.055e+00  0.070  0.070    1.40  0.1198  0.537  0.093  0.004  0.009  1.000  0.026  0.500  0.004  0.000  0.000  0.000  0.000
 4618.9   70  2.1688 -1.042e+00  0.070  0.070    1.40  0.1368  0.613  0.093  0.005  0.010  1.000  0.031  0.500  0.005  0.000  0.000  0.000  0.000
 4319.7   70  2.1544 -1.036e+00  0.070  0.070    1.40  0.1479  0.664  0.093  0.007  0.012  1.000  0.036  0.500  0.005  0.000  0.000  0.000  0.000
 4016.1   70  2.1406 -1.021e+00  0.070  0.070    1.40  0.1607  0.721  0.093  0.008  0.014  1.000  0.042  0.500  0.006  0.000  0.000  0.000  0.000
 3418.8   70  2.0863 -9.697e-01  0.070  0.070    1.40  0.1937  0.869  0.093  0.012  0.019  1.000  0.056  0.501  0.009  0.000  0.000  0.000  0.000
 3444.7   70  2.0889 -9.742e-01  0.070  0.070    1.40  0.1923  0.863  0.093  0.011  0.018  1.000  0.055  0.501  0.008  0.000  0.000  0.000  0.000
 2777.0   70  2.0355 -9.307e-01  0.070  0.070    1.40  0.2487  1.115  0.093  0.020  0.028  1.000  0.082  0.501  0.012  0.000  0.000  0.000  0.000
 2320.2   70  2.0207 -8.781e-01  0.070  0.070    1.40  0.3001  1.346  0.093  0.033  0.039  1.000  0.118  0.503  0.018  0.000  0.000  0.000  0.000
 2044.2   70  2.0075 -8.620e-01  0.070  0.070    1.40  0.3517  1.577  0.093  0.046  0.050  1.000  0.151  0.504  0.023  0.001  0.000  0.000  0.000
 1778.4   70  1.9964 -8.461e-01  0.070  0.070    1.40  0.4223  1.893  0.093  0.064  0.065  1.000  0.195  0.508  0.029  0.001  0.000  0.000  0.000
 1455.2   70  1.9687 -8.034e-01  0.070  0.070    1.40  0.5510  2.472  0.093  0.100  0.093  1.000  0.278  0.517  0.042  0.002  0.000  0.000  0.000
 1270.3   70  1.9611 -7.912e-01  0.070  0.070    1.40  0.6738  3.022  0.093  0.132  0.117  1.000  0.350  0.526  0.054  0.004  0.000  0.000  0.000
  944.3   70  1.9544 -7.680e-01  0.070  0.070    1.40  1.0568  4.740  0.093  0.216  0.183  1.000  0.551  0.563  0.095  0.013  0.001  0.000  0.000
  693.5   70  1.9500 -7.561e-01  0.070  0.070    1.40  1.6365  7.340  0.093  0.305  0.274  1.000  0.823  0.651  0.181  0.044  0.007  0.001  0.000
  527.1   70  1.9500 -7.921e-01  0.070  0.070    1.40  2.2328 10.014  0.093  0.369  0.364  1.000  1.094  0.812  0.336  0.120  0.032  0.008  0.002
  399.8   70  1.9500 -8.080e-01  0.070  0.070    1.40  2.6542 11.905  0.093  0.415  0.470  1.000  1.412  1.126  0.641  0.311  0.116  0.042  0.014
  329.1   70  1.9570 -8.233e-01  0.070  0.070    1.40  2.8156 12.628  0.093  0.438  0.544  1.000  1.632  1.446  0.972  0.553  0.256  0.111  0.042
  229.8   70  1.7850 -7.845e-01  0.070  0.070    1.40  2.7822 12.478  0.093  0.446  0.665  1.000  1.995  2.158  1.795  1.276  0.794  0.455  0.240
 7082.2   70  2.2881 -1.133e+00  0.070  0.070    1.40  0.0838  0.376  0.093  0.002  0.005  1.000  0.014  0.500  0.002  0.000  0.000  0.000  0.000
  300.0   80  1.6824 -4.780e-01  0.070  0.084    1.40  2.6516  9.910  0.111  0.448  0.693  1.000  2.080  2.215  1.802  1.238  0.748  0.417  0.215
  400.0   80  1.6888 -4.670e-01  0.070  0.084    1.40  2.3828  8.906  0.111  0.422  0.600  1.000  1.799  1.608  1.056  0.576  0.265  0.114  0.045
  440.0   80  1.6889 -4.633e-01  0.070  0.084    1.40  2.2459  8.394  0.111  0.409  0.564  1.000  1.691  1.429  0.864  0.432  0.179  0.070  0.025
  500.0   80  1.6888 -4.570e-01  0.070  0.084    1.40  2.0323  7.596  0.111  0.389  0.513  1.000  1.538  1.217  0.651  0.289  0.103  0.035  0.011
  550.0   80  1.6888 -4.570e-01  0.070  0.084    1.40  1.8641  6.967  0.111  0.370  0.472  1.000  1.417  1.079  0.523  0.210  0.067  0.021  0.006
  600.0   80  1.6888 -4.420e-01  0.070  0.084    1.40  1.6831  6.291  0.111  0.355  0.437  1.000  1.312  0.974  0.428  0.155  0.044  0.012  0.003
  675.0   80  1.6888 -4.399e-01  0.070  0.084    1.40  1.4626  5.466  0.111  0.327  0.387  1.000  1.160  0.853  0.325  0.102  0.025  0.006  0.001
  800.0   80  1.6888 -4.370e-01  0.070  0.084    1.40  1.1628  4.346  0.111  0.282  0.316  1.000  0.948  0.724  0.220  0.054  0.011  0.002  0.000
  870.0   80  1.6882 -4.401e-01  0.070  0.084    1.40  1.0355  3.870  0.111  0.256  0.282  1.000  0.847  0.676  0.182  0.040  0.007  0.001  0.000
 1000.0   80  1.6953 -4.470e-01  0.070  0.084    1.40  0.8524  3.186  0.111  0.216  0.231  1.000  0.694  0.616  0.135  0.023  0.003  0.000  0.000
 1020.0   80  1.6963 -4.479e-01  0.070  0.084    1.40  0.8286  3.097  0.111  0.210  0.224  1.000  0.674  0.609  0.130  0.021  0.003  0.000  0.000
55555.6   80  2.2563 -9.850e-01  0.070  0.084    1.40  0.0187  0.070  0.111  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   80  2.1689 -8.926e-01  0.070  0.084    1.40  0.0278  0.104  0.111  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   80  2.1035 -8.361e-01  0.070  0.084    1.40  0.0371  0.139  0.111  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   80  2.0628 -8.030e-01  0.070  0.084    1.40  0.0438  0.164  0.111  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
13157.9   80  2.0330 -7.747e-01  0.070  0.084    1.40  0.0499  0.187  0.111  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
11111.1   80  1.9999 -7.434e-01  0.070  0.084    1.40  0.0588  0.220  0.111  0.001  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   80  1.9766 -7.247e-01  0.070  0.084    1.40  0.0674  0.252  0.111  0.001  0.003  1.000  0.010  0.500  0.002  0.000  0.000  0.000  0.000
 8849.6   80  1.9562 -7.060e-01  0.070  0.084    1.40  0.0736  0.275  0.111  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
 7782.1   80  1.9227 -6.775e-01  0.070  0.084    1.40  0.0834  0.312  0.111  0.001  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6   80  1.8816 -6.525e-01  0.070  0.084    1.40  0.0936  0.350  0.111  0.002  0.006  1.000  0.019  0.500  0.003  0.000  0.000  0.000  0.000
 6097.6   80  1.8663 -6.325e-01  0.070  0.084    1.40  0.1058  0.396  0.111  0.003  0.008  1.000  0.024  0.500  0.004  0.000  0.000  0.000  0.000
 5154.6   80  1.8351 -6.134e-01  0.070  0.084    1.40  0.1259  0.471  0.111  0.005  0.011  1.000  0.034  0.500  0.006  0.000  0.000  0.000  0.000
 4618.9   80  1.8154 -6.012e-01  0.070  0.084    1.40  0.1414  0.529  0.111  0.006  0.014  1.000  0.042  0.500  0.007  0.000  0.000  0.000  0.000
 4319.7   80  1.8071 -5.964e-01  0.070  0.084    1.40  0.1520  0.568  0.111  0.007  0.016  1.000  0.048  0.500  0.008  0.000  0.000  0.000  0.000
 4016.1   80  1.7991 -5.896e-01  0.070  0.084    1.40  0.1637  0.613  0.111  0.009  0.018  1.000  0.055  0.501  0.009  0.000  0.000  0.000  0.000
 3418.8   80  1.7677 -5.608e-01  0.070  0.084    1.40  0.1916  0.716  0.111  0.013  0.025  1.000  0.075  0.501  0.013  0.000  0.000  0.000  0.000
 3444.7   80  1.7692 -5.636e-01  0.070  0.084    1.40  0.1906  0.712  0.111  0.012  0.024  1.000  0.073  0.501  0.013  0.000  0.000  0.000  0.000
 2777.0   80  1.7383 -5.387e-01  0.070  0.084    1.40  0.2393  0.894  0.111  0.023  0.037  1.000  0.112  0.503  0.019  0.000  0.000  0.000  0.000
 2320.2   80  1.7298 -5.083e-01  0.070  0.084    1.40  0.2838  1.061  0.111  0.037  0.053  1.000  0.158  0.507  0.026  0.001  0.000  0.000  0.000
