org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  600.0   50  1.5104 -5.410e-03  0.058  0.060    1.60  0.4951  2.738  0.104  0.959  0.519  1.000  1.556  1.332  0.720  0.364  0.161  0.076  0.032
  675.0   50  1.5103 -6.310e-03  0.058  0.060    1.60  0.3710  2.052  0.104  0.947  0.481  1.000  1.442  1.202  0.596  0.279  0.114  0.050  0.020
  800.0   50  1.5011 -9.010e-03  0.058  0.060    1.60  0.2306  1.275  0.104  0.906  0.421  1.000  1.264  1.033  0.444  0.182  0.066  0.026  0.009
  870.0   50  1.5010 -1.089e-02  0.058  0.060    1.60  0.1885  1.042  0.104  0.874  0.391  1.000  1.173  0.960  0.384  0.147  0.051  0.019  0.006
 1000.0   50  1.5009 -1.400e-02  0.058  0.060    1.60  0.1299  0.718  0.104  0.812  0.339  1.000  1.018  0.847  0.293  0.097  0.030  0.010  0.003
 1020.0   50  1.5001 -1.425e-02  0.058  0.060    1.60  0.1252  0.692  0.104  0.802  0.333  1.000  0.999  0.836  0.285  0.093  0.029  0.009  0.003
55555.6   50  1.8815 -3.940e-01  0.058  0.060    1.60  0.0107  0.059  0.104  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
23529.4   50  1.9075 -2.674e-01  0.058  0.060    1.60  0.0107  0.059  0.104  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   50  1.9573 -2.254e-01  0.058  0.060    1.60  0.0115  0.063  0.104  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   50  1.4133 -2.191e-01  0.058  0.060    1.60  0.0204  0.113  0.104  0.000  0.003  1.000  0.008  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   50  1.5655 -8.331e-02  0.058  0.060    1.60  0.0079  0.044  0.104  0.001  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
11111.1   50  1.6532 -5.500e-02  0.058  0.060    1.60  0.0058  0.032  0.104  0.003  0.006  1.000  0.017  0.500  0.003  0.000  0.000  0.000  0.000
 9708.7   50  1.8288 -1.082e-01  0.058  0.060    1.60  0.0113  0.062  0.104  0.004  0.008  1.000  0.024  0.500  0.004  0.000  0.000  0.000  0.000
 8849.6   50  2.3596 -3.009e-01  0.058  0.060    1.60  0.0221  0.122  0.104  0.006  0.012  1.000  0.037  0.500  0.004  0.000  0.000  0.000  0.000
